チーム,背番号,名前,ポジション,スロット
サントリーサンバーズ大阪,14,鬼木 錬,,
サントリーサンバーズ大阪,15,喜入 祥充,,
サントリーサンバーズ大阪,17,樫村 大仁,,
サントリーサンバーズ大阪,18,クリュカ,,
サントリーサンバーズ大阪,19,甲斐 孝太郎,,
サントリーサンバーズ大阪,21,髙橋 塁,,
サントリーサンバーズ大阪,22,鍬田 憲伸,,
サントリーサンバーズ大阪,23,柏田 樹,,
日本製鉄堺ブレイザーズ,1,アンダーソン,,
日本製鉄堺ブレイザーズ,2,山根 大幸,,
日本製鉄堺ブレイザーズ,3,安井 恒介,,
日本製鉄堺ブレイザーズ,4,髙野 直哉,,
日本製鉄堺ブレイザーズ,5,堀江 友裕,,
日本製鉄堺ブレイザーズ,6,森 愛樹,,
日本製鉄堺ブレイザーズ,7,高梨 健太,,
日本製鉄堺ブレイザーズ,8,秋間 直人,,
日本製鉄堺ブレイザーズ,9,蔡 沛彰,,
日本製鉄堺ブレイザーズ,10,渡邉 晃瑠,,
日本製鉄堺ブレイザーズ,11,大宅 真樹,,
日本製鉄堺ブレイザーズ,14,ダール,,
日本製鉄堺ブレイザーズ,15,江藤 巧,,
日本製鉄堺ブレイザーズ,17,上村 琉乃介,,
日本製鉄堺ブレイザーズ,20,中西 健裕,,
日本製鉄堺ブレイザーズ,21,竹元 裕太郎,,
日本製鉄堺ブレイザーズ,22,柿崎 晃,,
日本製鉄堺ブレイザーズ,23,南口 辰揮,,
日本製鉄堺ブレイザーズ,90,リナルディ,,
広島サンダーズ,1,柳北 悠李,,
広島サンダーズ,2,樋口 裕希,,
広島サンダーズ,3,西村 信,,
広島サンダーズ,4,三輪 大将,,
広島サンダーズ,5,井上 慎一朗,,
広島サンダーズ,6,ロビンソン,,
広島サンダーズ,7,新井 雄大,,
広島サンダーズ,8,武智 洸史,,
広島サンダーズ,9,髙梨 海輝,,
広島サンダーズ,10,髙木 啓士郎,,
広島サンダーズ,11,坂下 純也,,
広島サンダーズ,15,西本 圭吾,,
広島サンダーズ,16,西 知恕,,
広島サンダーズ,17,金子 聖輝,,
広島サンダーズ,18,山本 将平,,
広島サンダーズ,19,フェリペ・ロケ,,
広島サンダーズ,20,阿部 大樹,,
広島サンダーズ,21,永露 元稀,,
広島サンダーズ,22,山元 快太,,
広島サンダーズ,23,ダニエル・マルティネス,,
