チーム,背番号,名前,ポジション,スロット,カラー,番号色
ウルフドッグス名古屋,6,カール,OH,,#212026,white
ウルフドッグス名古屋,7,早坂 心之介,S,,#212026,white
ウルフドッグス名古屋,9,ブゲラ,OH,5,#212026,white
ウルフドッグス名古屋,10,佐藤 駿一郎,MB,6,#212026,white
ウルフドッグス名古屋,11,傳田 亮太,MB,,#212026,white
ウルフドッグス名古屋,12,水町 泰杜,OH,2,#212026,white
ウルフドッグス名古屋,15,宮浦 健人,OP,4,#212026,white
ウルフドッグス名古屋,17,市川 健太,L,,#b82729,white
ウルフドッグス名古屋,18,上林 直澄,S,,#212026,white
ウルフドッグス名古屋,22,豊田 譲,OP,,#212026,white
ウルフドッグス名古屋,26,山崎 彰都,OH,,#212026,white
ウルフドッグス名古屋,99,フベル,MB,3,#212026,white
大阪ブルテオン,1,清水 邦広,OP,,#4185f2,white
大阪ブルテオン,3,中村 駿介,S,,#4185f2,white
大阪ブルテオン,4,金田 晃太朗,MB,,#4185f2,white
大阪ブルテオン,5,富田 将馬,OH,2,#4185f2,white
大阪ブルテオン,6,ブリザール,S,1,#4185f2,white
大阪ブルテオン,8,仲本 賢優,OH,,#4185f2,white
大阪ブルテオン,9,彭 世坤,MB,,#4185f2,white
大阪ブルテオン,10,山内 晶大,MB,6,#4185f2,white
大阪ブルテオン,11,西田 有志,OP,4,#4185f2,white
大阪ブルテオン,12,野添 凌,S,,#4185f2,white
大阪ブルテオン,13,山本 智大,L,L,#ffffff,black
大阪ブルテオン,15,甲斐 優斗,OH,,#4185f2,white
大阪ブルテオン,16,池城 浩太朗,L,,#ffffff,black
大阪ブルテオン,18,西山 大翔,OP,,#4185f2,white
大阪ブルテオン,19,西川 馨太郎,MB,,#4185f2,white
大阪ブルテオン,22,バグナス,OH,,#4185f2,white
大阪ブルテオン,23,エバデダン ラリー,MB,3,#4185f2,white
大阪ブルテオン,81,ロペス,OH,5,#4185f2,white
サントリーサンバーズ大阪,1,小野寺 太志,MB,6,#fa4646,white
サントリーサンバーズ大阪,2,佐藤 謙次,MB,,#fa4646,white
サントリーサンバーズ大阪,5,下川 諒,S,,#fa4646,white
サントリーサンバーズ大阪,7,アライン,OH,,#fa4646,white
サントリーサンバーズ大阪,8,関田 誠大,S,1,#fa4646,white
サントリーサンバーズ大阪,10,小川 智大,L,L,#94c2d6,white
サントリーサンバーズ大阪,11,藤中 颯志,L,,#94c2d6,white
サントリーサンバーズ大阪,12,髙橋 藍,OH,2,#fa4646,white
サントリーサンバーズ大阪,13,ムセルスキー,OP,4,#fa4646,white
サントリーサンバーズ大阪,14,鬼木 錬,MB,3,#fa4646,white
サントリーサンバーズ大阪,15,喜入 祥充,L,,#94c2d6,white
サントリーサンバーズ大阪,17,樫村 大仁,MB,,#fa4646,white
サントリーサンバーズ大阪,18,クリュカ,OH,5,#fa4646,white
サントリーサンバーズ大阪,19,甲斐 孝太郎,OP,,#fa4646,white
サントリーサンバーズ大阪,21,髙橋 塁,OH,,#fa4646,white
サントリーサンバーズ大阪,22,鍬田 憲伸,OH,,#fa4646,white
サントリーサンバーズ大阪,23,柏田 樹,MB,,#fa4646,white
日本製鉄堺ブレイザーズ,1,アンダーソン,OH,,#f7fc8b,black
日本製鉄堺ブレイザーズ,2,山根 大幸,MB,,#f7fc8b,black
日本製鉄堺ブレイザーズ,3,安井 恒介,OH,,#f7fc8b,black
日本製鉄堺ブレイザーズ,4,髙野 直哉,OH,,#f7fc8b,black
日本製鉄堺ブレイザーズ,5,堀江 友裕,L,,#000230,white
日本製鉄堺ブレイザーズ,6,森 愛樹,L,L,#000230,white
日本製鉄堺ブレイザーズ,7,高梨 健太,OH,5,#f7fc8b,black
日本製鉄堺ブレイザーズ,8,秋間 直人,MB,,#f7fc8b,black
日本製鉄堺ブレイザーズ,9,蔡 沛彰,MB,6,#f7fc8b,black
日本製鉄堺ブレイザーズ,10,渡邉 晃瑠,MB,3,#f7fc8b,black
日本製鉄堺ブレイザーズ,11,大宅 真樹,S,1,#f7fc8b,black
日本製鉄堺ブレイザーズ,14,ダール,OP,4,#f7fc8b,black
日本製鉄堺ブレイザーズ,15,江藤 巧,S,,#f7fc8b,black
日本製鉄堺ブレイザーズ,17,上村 琉乃介,OP,,#f7fc8b,black
日本製鉄堺ブレイザーズ,20,中西 健裕,S,,#f7fc8b,black
日本製鉄堺ブレイザーズ,21,竹元 裕太郎,MB,,#f7fc8b,black
日本製鉄堺ブレイザーズ,22,柿崎 晃,OH,,#f7fc8b,black
日本製鉄堺ブレイザーズ,23,南口 辰揮,L,,#f7fc8b,black
日本製鉄堺ブレイザーズ,90,リナルディ,OH,2,#f7fc8b,black
広島サンダーズ,1,柳北 悠李,OH,,#3fb05a,white
広島サンダーズ,2,樋口 裕希,MB,,#3fb05a,white
広島サンダーズ,3,西村 信,L,,#000000,white
広島サンダーズ,4,三輪 大将,MB,3,#3fb05a,white
広島サンダーズ,5,井上 慎一朗,OH,,#3fb05a,white
広島サンダーズ,6,ロビンソン,OH,5,#3fb05a,white
広島サンダーズ,7,新井 雄大,OH,2,#3fb05a,white
広島サンダーズ,8,武智 洸史,OH,,#3fb05a,white
広島サンダーズ,9,髙梨 海輝,MB,,#3fb05a,white
広島サンダーズ,10,髙木 啓士郎,L,L,#000000,white
